time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.2,Order Sent Long,Order Sent Short
1785836820,29063.25,29079.75,29061.5,29073.75,,686,648.6,1,29064.57246730262,4,0,0
1785836880,29074.5,29080.25,29074.5,29076.25,,365,625.35,1,29064.57246730262,4,0,0
1785836940,29075.75,29085,29075.25,29082,29063.211568833784,493,632.25,1,29064.57246730262,4,0,0
1785837000,29081,29081.25,29069.75,29070.25,,442,610.8,1,29064.57246730262,4,0,0
1785837060,29070,29071.5,29058,29065.25,,777,617.2,1,29064.57246730262,4,0,0
1785837120,29065,29071.5,29062.5,29062.75,,394,622.45,-1,29064.57246730262,4,0,0
1785837180,29063.25,29068.75,29060,29062.75,,450,620.7,-1,29064.57246730262,4,0,0
1785837240,29062,29069,29060.5,29063.75,29063.26284799247,299,623.3,-1,29064.57246730262,4,0,0
1785837300,29063,29065,29058.25,29064,,388,619.4,-1,29064.57246730262,4,0,0
1785837360,29063.25,29068,29060.75,29064.75,,337,615.55,1,29064.57246730262,4,0,0
1785837420,29065,29067.75,29060,29065,,305,606.5,1,29064.57246730262,4,0,0
1785837480,29065,29074,29065,29073,,417,601.8,1,29064.57246730262,4,0,0
1785837540,29072.75,29077.75,29071.75,29077.75,29064.642576755094,338,595.05,1,29064.57246730262,4,0,0
1785837600,29077.5,29081,29066,29072.75,,705,571.6,1,29068.964978201748,4,0,0
1785837660,29073,29081,29072.5,29079.75,,476,570.7,1,29068.964978201748,4,0,0
1785837720,29079.5,29083.75,29078.75,29081.75,,425,569.7,1,29068.964978201748,4,0,0
1785837780,29083,29088.25,29073.25,29077.75,,752,593.05,1,29068.964978201748,4,0,0
1785837840,29078,29078.25,29074,29075.5,29065.67661706413,213,590.25,1,29068.964978201748,4,0,0
1785837900,29076.25,29084.25,29072.75,29082.75,,465,487.65,1,29068.964978201748,4,0,0
1785837960,29083.5,29091,29082,29088.75,,579,465.3,1,29068.964978201748,4,0,0
1785838020,29088.25,29094.25,29087,29091.75,,563,459.15,1,29068.964978201748,4,0,0
1785838080,29091.25,29095.25,29087.75,29092.25,,618,471.8,1,29068.964978201748,4,0,0
1785838140,29092.5,29097,29091.5,29095,29068.469320200882,565,475.4,1,29068.964978201748,4,0,0
1785838200,29095.25,29097.25,29090.5,29095.5,,524,479.5,1,29068.964978201748,4,0,0
1785838260,29095.5,29107,29095,29106.75,,941,487.7,1,29068.964978201748,4,0,0
1785838320,29107.25,29110.5,29104.25,29105,,888,512.4,1,29068.964978201748,4,0,0
1785838380,29104.5,29107.5,29099.5,29105.75,,589,519.35,1,29068.964978201748,4,0,0
1785838440,29105.75,29112,29104,29106,29072.043670657942,659,537.35,1,29068.964978201748,4,0,0
1785838500,29106.25,29107.25,29094.25,29094.75,,647,550.3,1,29081.309985467833,4,0,0
1785838560,29094.75,29102,29092.25,29095.5,,1052,586.05,1,29081.309985467833,4,0,0
1785838620,29096.25,29101.25,29086.5,29098.75,,1151,628.35,1,29081.309985467833,4,0,0
1785838680,29099,29101.5,29095.75,29099.75,,414,628.2,1,29081.309985467833,4,0,0
1785838740,29099.5,29102.75,29095.25,29095.75,29074.301416309565,405,631.55,1,29081.309985467833,4,0,0
1785838800,29096.5,29104.75,29089.75,29099.75,,816,637.1,1,29081.309985467833,4,0,0
1785838860,29100.25,29108.5,29094.5,29108,,535,640.05,1,29081.309985467833,4,0,0
1785838920,29108,29110.25,29104.75,29108.75,,387,638.15,1,29081.309985467833,4,0,0
1785838980,29108.25,29111.5,29107.5,29110.75,,382,619.65,1,29081.309985467833,4,0,0
1785839040,29110.75,29115.75,29108.75,29111.25,29077.820329041988,630,640.5,1,29081.309985467833,4,0,0
1785839100,29111,29114,29107.5,29109.75,,467,640.6,1,29081.309985467833,4,0,0
1785839160,29109.25,29110.75,29107.5,29109.25,,316,627.45,1,29081.309985467833,4,0,0
1785839220,29109,29112.75,29104.5,29105.75,,494,624,1,29081.309985467833,4,0,0
1785839280,29106.5,29106.75,29094.75,29094.75,,697,627.95,1,29081.309985467833,4,0,0
1785839340,29095.5,29099.5,29094,29095.5,29079.504107228466,329,616.15,1,29081.309985467833,4,0,0
1785839400,29096,29111.25,29094.25,29107,,2192,699.55,1,29086.03999031189,4,0,0
1785839460,29106.5,29108.5,29096.5,29098.75,,518,678.4,1,29086.03999031189,4,0,0
