time,open,high,low,close,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.0,Order Sent Long,Order Sent Short,EMA,Volume,Volume MA
1785804660,28887.25,28901.25,28885.25,28900.25,-1,28918.790095270106,2,0,0,,950,1327.75
1785804720,28900,28904,28897.5,28899.25,-1,28918.790095270106,2,0,0,,1020,1333.25
1785804780,28898,28909,28896.25,28907.25,-1,28918.790095270106,2,0,0,,986,1321
1785804840,28906,28908,28891.75,28894.75,-1,28918.790095270106,2,0,0,,1470,1318.2
1785804900,28894.5,28898.25,28875,28878.5,-1,28918.790095270106,2,0,0,,1932,1321.15
1785804960,28879,28893.25,28870,28880,-1,28918.790095270106,2,0,0,,1814,1340
1785805020,28879.5,28884.75,28874.5,28880,-1,28918.790095270106,2,0,0,,796,1334.45
1785805080,28880.25,28881.25,28868.5,28873.5,-1,28918.790095270106,2,0,0,,1175,1327.2
1785805140,28874.25,28880,28870,28877.25,-1,28918.790095270106,2,0,0,28904.94339684674,995,1309
1785805200,28876.75,28876.75,28852.75,28855.75,-1,28904.94339684674,2,0,0,,3200,1409.05
1785805260,28856.25,28867.5,28852.5,28866.25,-1,28904.94339684674,2,0,0,,1461,1418.8
1785805320,28866,28875,28853,28855.25,-1,28904.94339684674,2,0,1,,2097,1425.15
1785805380,28856.25,28857.75,28834,28839.25,-1,28904.94339684674,2,0,0,,3296,1497.95
1785805440,28839.25,28851.5,28831.5,28849.25,-1,28904.94339684674,2,0,0,,2271,1548.05
1785805500,28848.25,28863,28847.5,28858.5,-1,28904.94339684674,2,0,0,,1649,1521.7
1785805560,28859,28862.75,28837.75,28842.5,-1,28904.94339684674,2,0,0,,1402,1539.7
1785805620,28843,28860.25,28842.75,28854.5,-1,28904.94339684674,2,0,0,,1078,1565.05
1785805680,28853.75,28861.5,28850.5,28857,-1,28904.94339684674,2,0,0,,760,1522.85
1785805740,28857,28859.5,28845,28855.5,-1,28904.94339684674,2,0,0,,1318,1542.3
1785805800,28856,28867.5,28851,28865.75,-1,28904.94339684674,2,0,0,,1354,1551.2
1785805860,28866,28866,28858.75,28862.5,-1,28904.94339684674,2,0,0,,686,1538
1785805920,28862.5,28866.5,28859,28863.5,-1,28904.94339684674,2,0,0,,638,1518.9
1785805980,28863.25,28871.75,28856.75,28861.75,-1,28904.94339684674,2,0,0,,1055,1522.35
1785806040,28863,28868.5,28857.5,28860,-1,28904.94339684674,2,0,0,28889.962264564492,723,1485
1785806100,28859.25,28878.5,28859.25,28871.25,-1,28889.962264564492,2,0,0,,1267,1451.75
1785806160,28872,28872.25,28852,28853,-1,28889.962264564492,2,0,0,,1537,1437.9
1785806220,28853,28860,28851.25,28857.25,-1,28889.962264564492,2,0,0,,694,1432.8
1785806280,28858,28869.25,28855.25,28867,-1,28889.962264564492,2,0,0,,716,1409.85
1785806340,28867,28880,28861.5,28875.75,-1,28889.962264564492,2,0,0,,1159,1418.05
1785806400,28875.75,28890.5,28874.25,28888.25,-1,28889.962264564492,2,0,0,,1613,1338.7
1785806460,28888,28892,28880.25,28888.5,-1,28889.962264564492,2,0,0,,1096,1320.45
1785806520,28888.5,28893.75,28887.25,28892.5,1,28889.962264564492,2,0,0,,936,1262.4
1785806580,28892.5,28893.75,28881.75,28887,-1,28889.962264564492,2,0,0,,1018,1148.5
1785806640,28887,28888.75,28879.75,28884.5,-1,28889.962264564492,2,0,0,,713,1070.6
1785806700,28883.75,28887.75,28877.25,28879.75,-1,28889.962264564492,2,0,0,,995,1037.9
1785806760,28879.5,28883.75,28872.25,28883.5,-1,28889.962264564492,2,0,0,,1115,1023.55
1785806820,28883,28895.25,28878,28893.75,1,28889.962264564492,2,0,0,,1143,1026.8
1785806880,28893.5,28900,28888.5,28899.75,1,28889.962264564492,2,0,0,,1077,1042.65
1785806940,28899.25,28902.5,28894.25,28902,1,28889.962264564492,2,0,0,28893.974843042994,1376,1045.55
1785807000,28902.75,28922.5,28899,28917.25,1,28893.974843042994,2,0,0,,2706,1113.15
1785807060,28916.5,28923.5,28911.25,28912.5,1,28893.974843042994,2,0,0,,1640,1160.85
1785807120,28912.25,28920,28911,28913.75,1,28893.974843042994,2,0,0,,757,1166.8
1785807180,28914,28919.25,28906.75,28907,1,28893.974843042994,2,0,0,,815,1154.8
1785807240,28907,28925,28906.75,28923.5,1,28893.974843042994,2,0,0,,1256,1181.45
1785807300,28923.5,28933.25,28922.75,28927.5,1,28893.974843042994,2,0,0,,1778,1207
1785807360,28927.5,28930.75,28918,28919.5,1,28893.974843042994,2,0,0,,1562,1208.25
1785807420,28919.75,28925.5,28911.25,28914,1,28893.974843042994,2,0,0,,1473,1247.2
1785807480,28913.25,28920.25,28910,28914.5,1,28893.974843042994,2,0,0,,824,1252.6
1785807540,28914,28917.5,28904.25,28906.5,1,28893.974843042994,2,0,0,,1039,1246.6
1785807600,28906.5,28919.25,28905.5,28916,1,28893.974843042994,2,0,0,,930,1212.45
1785807660,28916.25,28935,28915.5,28931.25,1,28893.974843042994,2,0,0,,1906,1252.95
1785807720,28932,28935.75,28928,28930.25,1,28893.974843042994,2,0,0,,933,1252.8
1785807780,28930,28933.75,28929,28932,1,28893.974843042994,2,0,0,,522,1228
1785807840,28932,28943.75,28930.5,28942.5,1,28893.974843042994,2,0,0,28910.149895361996,1135,1249.1
1785807900,28942.25,28958,28941.5,28951.75,1,28910.149895361996,2,0,0,,2296,1314.15
1785807960,28951.5,28960.25,28950.75,28954.5,1,28910.149895361996,2,0,0,,1293,1323.05
1785808020,28955,28963,28952.75,28961.75,1,28910.149895361996,2,0,0,,933,1312.55
1785808080,28961.25,28965,28957.25,28963,1,28910.149895361996,2,0,0,,928,1305.1
1785808140,28963.75,28971,28961.25,28965,1,28910.149895361996,2,0,0,,1180,1295.3
1785808200,28964.75,28973.5,28964.75,28968.75,1,28910.149895361996,2,0,0,,999,1209.95
1785808260,28968.5,29011.75,28966.25,29010,1,28910.149895361996,2,0,0,,4459,1350.9
1785808320,29009.5,29014.75,29005.75,29011.75,1,28910.149895361996,2,0,0,,2147,1420.4
1785808380,29012.25,29038,29009,29029.5,1,28910.149895361996,2,0,0,,3547,1557
1785808440,29029,29049.25,29028,29038.5,1,28910.149895361996,2,0,0,,2239,1606.15
1785808500,29038.5,29041.25,29034.5,29036,1,28910.149895361996,2,0,0,,1380,1586.25
1785808560,29036,29041.75,29027.5,29027.75,1,28910.149895361996,2,0,0,,1617,1589
1785808620,29027.5,29038,29025.25,29035,1,28910.149895361996,2,0,0,,1309,1580.8
1785808680,29034.75,29041.5,29029.5,29040.75,1,28910.149895361996,2,0,0,,1140,1596.6
1785808740,29040.5,29044.75,29035.5,29041,1,28910.149895361996,2,0,0,28953.766596907997,1162,1602.75
1785808800,29041.25,29044.75,29031.5,29033.5,1,28953.766596907997,2,0,0,,1260,1619.25
1785808860,29033.5,29045,29032.5,29044,1,28953.766596907997,2,0,0,,961,1572
1785808920,29044.5,29044.5,29022,29023.75,1,28953.766596907997,2,0,0,,1808,1615.75
1785808980,29024.5,29027.75,29016,29019,1,28953.766596907997,2,0,0,,1553,1667.3
1785809040,29018.5,29025.5,29011.75,29012.5,1,28953.766596907997,2,0,0,,1476,1684.35
1785809100,29012.5,29014.75,28994.5,28995.25,1,28953.766596907997,2,0,0,,2358,1687.45
1785809160,28995.75,28998.5,28980.75,28997.5,1,28953.766596907997,2,0,0,,3110,1778.3
1785809220,28998,29004.5,28989,28994.5,1,28953.766596907997,2,0,0,,1365,1799.9
1785809280,28994.5,29004.75,28993.5,28997.5,1,28953.766596907997,2,0,0,,835,1795.25
1785809340,28997.5,29001,28992.5,28999.5,1,28953.766596907997,2,0,0,,603,1766.4
1785809400,29000,29000,28967.5,28976,1,28953.766596907997,2,0,0,,3036,1868.25
1785809460,28976,28986.25,28971.5,28980,1,28953.766596907997,2,0,0,,1547,1722.65
1785809520,28979,28990,28974.25,28990,1,28953.766596907997,2,0,0,,1045,1667.55
1785809580,28989.25,28991.25,28981,28981,1,28953.766596907997,2,0,0,,1036,1542
1785809640,28981,28985.75,28969,28971,1,28953.766596907997,2,0,0,28959.511064605333,1086,1484.35
