time,open,high,low,close,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1771583400,24927.25,24937,24917.25,24925.5,4253,-2.3678025851938895,-2.3678025851938895,0.549633409643293,0.549633409643293,0.32804701336338754,0.32804701336338754,-0.041105641498651535,-0.041105641498651535,-0.007020429449698623,-0.007020429449698623
1771584300,24926,24936.25,24900.75,24902.5,5855,-2.4578926752839796,-2.4578926752839796,0.4568512560888288,0.4568512560888288,0.23546932861052972,0.23546932861052972,-0.1333426907151379,-0.1333426907151379,-0.09928893078859481,-0.09928893078859481
1771585200,24902.25,24902.25,24843,24868,16994,-2.5930278104191147,-2.5930278104191147,0.31767802575713266,0.31767802575713266,0.09660280148124295,0.09660280148124295,-0.13753777269122267,-0.13753777269122267,-0.13753777269122267,-0.13753777269122267
1771586100,24867.75,24885.75,24855.75,24878.75,7763,-2.5509204857030943,-2.5509204857030943,0.3610435975271539,0.3610435975271539,0.13987280631138302,0.13987280631138302,-0.09436898272244476,-0.09436898272244476,-0.09436898272244476,-0.09436898272244476
1771587000,24878.75,24888.25,24850,24862,7232,-2.616529573051312,-2.616529573051312,0.2934739856994463,0.2934739856994463,0.07245210111093221,0.07245210111093221,-0.1616319810458894,-0.1616319810458894,-0.06732653368838869,-0.06732653368838869
1771587900,24862.5,24863.75,24811.25,24829,12264,-2.745789267528398,-2.745789267528398,0.16035176538217172,0.16035176538217172,-0.06037675092577685,-0.06037675092577685,-0.29415012699655657,-0.29415012699655657,-0.1999698537908858,-0.1999698537908858
1771588800,24829.25,24842.75,24805,24840,11503,-2.7027027027027026,-2.7027027027027026,0.20472583882126325,0.20472583882126325,-0.016100466913540494,-0.016100466913540494,0.04329570969723209,0.04329570969723209,0.04329570969723209,0.04329570969723209
1771589700,24840.25,24850,24798.75,24808.25,12929,-2.8270661966314137,-2.8270661966314137,0.07664612684933994,0.07664612684933994,-0.14389792303976814,-0.14389792303976814,-0.08457766545505804,-0.08457766545505804,-0.08457766545505804,-0.08457766545505804
1771590600,24808.25,24820,24790.5,24804.25,11899,-2.842734038386212,-2.842734038386212,0.06051010014421574,0.06051010014421574,-0.15999838995330865,-0.15999838995330865,-0.1006876969703072,-0.1006876969703072,-0.016123668537684037,-0.016123668537684037
1771591500,24803.5,24830.75,24792,24829.75,10598,-2.7428515471993733,-2.7428515471993733,0.1633772703893825,0.1633772703893825,-0.05735791337948801,-0.05735791337948801,0.002013753939406144,0.002013753939406144,0.0866647183900517,0.0866647183900517
1771592400,24829,24834,24815.5,24824.25,7970,-2.764394829612221,-2.764394829612221,0.1411902336698367,0.1411902336698367,-0.07949605538560618,-0.07949605538560618,-0.01913085504853196,-0.01913085504853196,-0.01913085504853196,-0.01913085504853196
1771593300,24823.5,24864,24823.5,24857.75,12906,-2.6331766549157853,-2.6331766549157853,0.2763294573252519,0.2763294573252519,0.055345355015295444,0.055345355015295444,0.11579201739900923,0.11579201739900923,0.11579201739900923,0.11579201739900923
