time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Volume,Volume MA
1785715860,28597.25,28606,28586,28590.75,1,1,0,1072,1602.45
1785715920,28590.5,28592.5,28572.75,28582.75,1,0,0,1058,1498.65
1785715980,28584.25,28610,28578.75,28598.5,1,0,0,1488,1477.55
1785716040,28599.25,28614.75,28595.75,28610,1,0,0,899,1401.6
1785716100,28610,28630.25,28608.5,28619.75,1,0,0,1973,1415.25
1785716160,28620,28623.75,28605,28607,1,0,0,974,1406.05
1785716220,28607.5,28615,28601.5,28609,1,0,0,1010,1424.7
1785716280,28609.25,28613.75,28602,28602.75,1,0,0,740,1421.6
1785716340,28602.5,28610,28594.5,28599.5,1,0,0,810,1371
1785716400,28599.5,28604.75,28593.5,28597,1,0,0,550,1248.75
1785716460,28596.25,28611.5,28593.25,28611.5,1,0,0,781,1199
1785716520,28611.5,28614,28595,28597.75,1,0,0,831,1188.6
1785716580,28597,28598.5,28583.75,28593.25,1,1,0,952,1166.5
1785716640,28592,28599.75,28578.25,28579,-1,0,0,908,1149.7
1785716700,28579.25,28579.75,28563.75,28571,-1,0,0,1906,1167.5
1785716760,28570,28587.75,28565.25,28574,-1,0,0,1122,1137.3
1785716820,28575,28587.25,28564.75,28568.25,-1,0,0,1048,1127.4
1785716880,28568.25,28569.75,28542.5,28542.5,-1,0,0,2266,1191.15
1785716940,28543.75,28558.75,28536.5,28555,-1,0,0,2019,1231.65
1785717000,28554.25,28558.5,28542,28548.25,-1,0,0,1268,1183.75
1785717060,28548,28565.25,28543,28559.5,-1,0,0,1662,1213.25
1785717120,28559.75,28575.75,28546.25,28569.25,-1,0,0,1713,1246
1785717180,28568.75,28581.5,28564,28576.25,-1,0,0,1559,1249.55
1785717240,28576.25,28588,28567.25,28583.25,-1,0,0,1167,1262.95
1785717300,28583.25,28594,28577,28592.75,-1,0,0,1185,1223.55
1785717360,28592.25,28597,28584,28584.25,-1,0,0,964,1223.05
1785717420,28584.75,28590.75,28580.5,28587.25,-1,0,0,664,1205.75
1785717480,28587.25,28608.75,28582.25,28604.5,1,0,0,1404,1238.95
1785717540,28604.75,28611,28597.25,28598.25,1,0,0,1646,1280.75
1785717600,28597.5,28609.25,28593.5,28606.5,1,1,0,1208,1313.65
1785717660,28606.25,28611.25,28589.25,28591.5,-1,0,0,1015,1325.35
1785717720,28592,28596.25,28582.5,28591.25,-1,0,0,910,1329.3
1785717780,28591.25,28594,28574.5,28574.5,-1,0,0,993,1331.35
1785717840,28575,28604.75,28573.25,28582.5,1,0,0,1650,1368.45
1785717900,28583,28589.5,28577.5,28587.5,1,0,0,651,1305.7
1785717960,28586.75,28593.25,28575.5,28576.5,-1,0,0,525,1275.85
1785718020,28576.75,28590.25,28572,28585.5,1,0,0,981,1272.5
1785718080,28585,28618,28581,28611.25,1,0,0,2303,1274.35
1785718140,28612,28617.5,28600,28617,1,0,0,1007,1223.75
1785718200,28617,28618.5,28609.5,28618.5,1,0,0,992,1209.95
1785718260,28618.5,28622.75,28582.25,28588.5,1,0,0,2057,1229.7
1785718320,28588.5,28607.75,28585.5,28604.25,1,0,0,1039,1196
1785718380,28605,28613.75,28602,28612.5,1,0,0,735,1154.8
1785718440,28612.5,28624,28610.75,28613.5,1,0,0,1012,1147.05
1785718500,28614,28618,28608.5,28612.75,1,0,0,639,1119.75
1785718560,28612.75,28617,28609.5,28615.25,1,0,0,445,1093.8
1785718620,28616,28618,28604.25,28612.5,1,0,0,532,1087.2
1785718680,28613,28620,28611.25,28616.25,1,0,0,626,1048.3
1785718740,28616.75,28627,28612.25,28622.25,1,1,0,999,1015.95
1785718800,28622.25,28624,28606,28610,1,0,0,1194,1015.25
1785718860,28610.25,28618,28601.25,28615.5,1,0,0,1058,1017.4
1785718920,28615.5,28619,28603,28613,1,0,0,736,1008.7
1785718980,28612.5,28622.25,28609,28622.25,1,0,0,676,992.85
1785719040,28622,28630,28618.75,28624.5,1,0,0,1154,968.05
