time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1569290400,7848.1,7858.6,7847.9,7855.1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5891,2.3999478555599056,2.3999478555599056,0.6019390120515875,0.6019390120515875,0.1312971650010221,0.1312971650010221,0.08919356277315528,0.08919356277315528
1569294000,7855.1,7856.3,7849.8,7851.3,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4248,2.3504106374657825,2.3504106374657825,0.5532716025665632,0.5532716025665632,0.08285743422394452,0.08285743422394452,-0.048376214179325305,-0.048376214179325305
1569297600,7851.3,7856.4,7846.9,7854.6,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5152,2.3934298005475214,2.3934298005475214,0.5955354055404003,0.5955354055404003,0.12492351621456482,0.12492351621456482,0.04203125597035118,0.04203125597035118
1569301200,7854.6,7861.2,7849.3,7854.3,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6035,2.3895189675400887,2.3895189675400887,0.5916932416336858,0.5916932416336858,0.12109932694268814,0.12109932694268814,-0.0038194179207111994,-0.0038194179207111994
1569304800,7854.3,7854.3,7842.6,7848.1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6959,2.3086950853865256,2.3086950853865256,0.512288520894968,0.512288520894968,0.042066081990620306,0.042066081990620306,-0.07893765198680745,-0.07893765198680745
1569308400,7848.1,7852.4,7839.7,7846.1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10731,2.282622865336988,2.282622865336988,0.4866740948502197,0.4866740948502197,0.016571486844791223,0.016571486844791223,-0.02548387507804437,-0.02548387507804437
1569312000,7846.1,7855.6,7844.8,7853.9,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960,2.384304523530174,2.384304523530174,0.586570356424729,0.586570356424729,0.11600040791351537,0.11600040791351537,0.09941244694815606,0.09941244694815606
1569315600,7853.9,7860.4,7852.1,7858.3,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5891,2.441663407639163,2.441663407639163,0.6429220937231825,0.6429220937231825,0.17208851723434632,0.17208851723434632,0.05602312227047131,0.05602312227047131
1569319200,7858.3,7858.4,7850.1,7856.2,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4959,2.414287576587144,2.414287576587144,0.616026946376192,0.616026946376192,0.14531919233122115,0.14531919233122115,-0.026723337108539556,-0.026723337108539556
1569322800,7856.2,7865.9,7855.4,7857.6,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5590,2.432538130621827,2.432538130621827,0.6339570446075229,0.6339570446075229,0.16316540893330844,0.16316540893330844,0.017820320256619556,0.017820320256619556
1569326400,7857.6,7857.7,7844.5,7848.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7269,2.3126059183939467,2.3126059183939467,0.516130684801671,0.516130684801671,0.0458902712624854,0.0458902712624854,-0.11708409692527905,-0.11708409692527905
1569330000,7848.4,7870.6,7844.2,7862.6,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44696,2.49771868074567,2.49771868074567,0.697993109719394,0.697993109719394,0.22690189679788114,0.22690189679788114,0.18092859691148167,0.18092859691148167
